,Date,Count
0,2005-07-01 00:00:00.000000,3225769
1,2005-08-01 00:00:00.000000,3195866
2,2005-09-01 00:00:00.000000,2740553
3,2005-10-01 00:00:00.000000,2770715
4,2005-11-01 00:00:00.000000,2617333
5,2005-12-01 00:00:00.000000,2671797
6,2006-01-01 00:00:00.000000,2448889
7,2006-02-01 00:00:00.000000,2223024
8,2006-03-01 00:00:00.000000,2708778
9,2006-04-01 00:00:00.000000,2773293
10,2006-05-01 00:00:00.000000,2829000
11,2006-06-01 00:00:00.000000,3071396
12,2006-07-01 00:00:00.000000,3227605
13,2006-08-01 00:00:00.000000,3143839
14,2006-09-01 00:00:00.000000,2720100
15,2006-10-01 00:00:00.000000,2834959
16,2006-11-01 00:00:00.000000,2653887
17,2006-12-01 00:00:00.000000,2698200
18,2007-01-01 00:00:00.000000,2507430
19,2007-02-01 00:00:00.000000,2304990
20,2007-03-01 00:00:00.000000,2820085
21,2007-04-01 00:00:00.000000,2869247
22,2007-05-01 00:00:00.000000,3056934
23,2007-06-01 00:00:00.000000,3263621
24,2007-07-01 00:00:00.000000,3382382
25,2007-08-01 00:00:00.000000,3436417
26,2007-09-01 00:00:00.000000,2957530
27,2007-10-01 00:00:00.000000,3129309
28,2007-11-01 00:00:00.000000,2922500
29,2007-12-01 00:00:00.000000,2903637
30,2008-01-01 00:00:00.000000,2670053
31,2008-02-01 00:00:00.000000,2595676
32,2008-03-01 00:00:00.000000,3127387
33,2008-04-01 00:00:00.000000,3029021
34,2008-05-01 00:00:00.000000,3305954
35,2008-06-01 00:00:00.000000,3453751
36,2008-07-01 00:00:00.000000,3603946
37,2008-08-01 00:00:00.000000,3612297
38,2008-09-01 00:00:00.000000,3004720
39,2008-10-01 00:00:00.000000,3124451
40,2008-11-01 00:00:00.000000,2744485
41,2008-12-01 00:00:00.000000,2962937
42,2009-01-01 00:00:00.000000,2644539
43,2009-02-01 00:00:00.000000,2359800
44,2009-03-01 00:00:00.000000,2925918
45,2009-04-01 00:00:00.000000,3024973
46,2009-05-01 00:00:00.000000,3177100
47,2009-06-01 00:00:00.000000,3419595
48,2009-07-01 00:00:00.000000,3649702
49,2009-08-01 00:00:00.000000,3650668
50,2009-09-01 00:00:00.000000,3191526
51,2009-10-01 00:00:00.000000,3249428
52,2009-11-01 00:00:00.000000,2971484
53,2009-12-01 00:00:00.000000,3074209
54,2010-01-01 00:00:00.000000,2785466
55,2010-02-01 00:00:00.000000,2515361
56,2010-03-01 00:00:00.000000,3105958
57,2010-04-01 00:00:00.000000,3139059
58,2010-05-01 00:00:00.000000,3380355
59,2010-06-01 00:00:00.000000,3612886
60,2010-07-01 00:00:00.000000,3765824
61,2010-08-01 00:00:00.000000,3771842
62,2010-09-01 00:00:00.000000,3356365
63,2010-10-01 00:00:00.000000,3490100
64,2010-11-01 00:00:00.000000,3163659
65,2010-12-01 00:00:00.000000,3167124
66,2011-01-01 00:00:00.000000,2883810
67,2011-02-01 00:00:00.000000,2610667
68,2011-03-01 00:00:00.000000,3129205
69,2011-04-01 00:00:00.000000,3200527
70,2011-05-01 00:00:00.000000,3547804
71,2011-06-01 00:00:00.000000,3766323
72,2011-07-01 00:00:00.000000,3935589
73,2011-08-01 00:00:00.000000,3917884
74,2011-09-01 00:00:00.000000,3564970
75,2011-10-01 00:00:00.000000,3602455
76,2011-11-01 00:00:00.000000,3326859
77,2011-12-01 00:00:00.000000,3441693
78,2012-01-01 00:00:00.000000,3211600
79,2012-02-01 00:00:00.000000,2998119
80,2012-03-01 00:00:00.000000,3472440
81,2012-04-01 00:00:00.000000,3563007
82,2012-05-01 00:00:00.000000,3820570
83,2012-06-01 00:00:00.000000,4107195
84,2012-07-01 00:00:00.000000,4284443
85,2012-08-01 00:00:00.000000,4356216
86,2012-09-01 00:00:00.000000,3819379
87,2012-10-01 00:00:00.000000,3844987
88,2012-11-01 00:00:00.000000,3478890
89,2012-12-01 00:00:00.000000,3443039
90,2013-01-01 00:00:00.000000,3204637
91,2013-02-01 00:00:00.000000,2966477
92,2013-03-01 00:00:00.000000,3593364
93,2013-04-01 00:00:00.000000,3604104
94,2013-05-01 00:00:00.000000,3933016
95,2013-06-01 00:00:00.000000,4146797
96,2013-07-01 00:00:00.000000,4176486
97,2013-08-01 00:00:00.000000,4347059
98,2013-09-01 00:00:00.000000,3781168
99,2013-10-01 00:00:00.000000,3910790
100,2013-11-01 00:00:00.000000,3466878
101,2013-12-01 00:00:00.000000,3814984
102,2014-01-01 00:00:00.000000,3432625
103,2014-02-01 00:00:00.000000,3078405
104,2014-03-01 00:00:00.000000,3765504
105,2014-04-01 00:00:00.000000,3881893
106,2014-05-01 00:00:00.000000,4147096
107,2014-06-01 00:00:00.000000,4321833
108,2014-07-01 00:00:00.000000,4499221
109,2014-08-01 00:00:00.000000,4524918
110,2014-09-01 00:00:00.000000,3919072
111,2014-10-01 00:00:00.000000,4059443
112,2014-11-01 00:00:00.000000,3628786
113,2014-12-01 00:00:00.000000,3855835
114,2015-01-01 00:00:00.000000,3550084
115,2015-02-01 00:00:00.000000,3248144
116,2015-03-01 00:00:00.000000,4001521
117,2015-04-01 00:00:00.000000,4021677
118,2015-05-01 00:00:00.000000,4361140
119,2015-06-01 00:00:00.000000,4558511
120,2015-07-01 00:00:00.000000,4801148
121,2015-08-01 00:00:00.000000,4796653
122,2015-09-01 00:00:00.000000,4201394
123,2015-10-01 00:00:00.000000,4374749
124,2015-11-01 00:00:00.000000,4013814
125,2015-12-01 00:00:00.000000,4129052
126,2016-01-01 00:00:00.000000,3748529
127,2016-02-01 00:00:00.000000,3543639
128,2016-03-01 00:00:00.000000,4137679
129,2016-04-01 00:00:00.000000,4172512
130,2016-05-01 00:00:00.000000,4573996
131,2016-06-01 00:00:00.000000,4922125
132,2016-07-01 00:00:00.000000,5168724
133,2016-08-01 00:00:00.000000,5110638
134,2016-09-01 00:00:00.000000,4543759
135,2016-10-01 00:00:00.000000,4571997
136,2016-11-01 00:00:00.000000,4266481
137,2016-12-01 00:00:00.000000,4343369
138,2017-01-01 00:00:00.000000,3897685
139,2017-02-01 00:00:00.000000,3481405
140,2017-03-01 00:00:00.000000,4335287
141,2017-04-01 00:00:00.000000,4425920
142,2017-05-01 00:00:00.000000,4698067
143,2017-06-01 00:00:00.000000,5134110
144,2017-07-01 00:00:00.000000,5496516
145,2017-08-01 00:00:00.000000,5516837
146,2017-09-01 00:00:00.000000,4736005
147,2017-10-01 00:00:00.000000,4868674
148,2017-11-01 00:00:00.000000,4572702
149,2017-12-01 00:00:00.000000,4660504
150,2018-01-01 00:00:00.000000,4190367
151,2018-02-01 00:00:00.000000,3882181
152,2018-03-01 00:00:00.000000,4674035
153,2018-04-01 00:00:00.000000,4713183
154,2018-05-01 00:00:00.000000,5025595
155,2018-06-01 00:00:00.000000,5427144
